algo,source,rank,feature,importance
decision_tree,refit,1,average_monthly_expense,0.24026447617717445
decision_tree,refit,2,monthly_debt_payment,0.2272286656574368
decision_tree,refit,3,average_monthly_income,0.22487515275450798
decision_tree,refit,4,savings_amount,0.22059862964986723
decision_tree,refit,5,total_current_debt,0.022088496857678025
decision_tree,refit,6,age,0.019479293150682767
decision_tree,refit,7,household_size,0.013559049912892059
decision_tree,refit,8,children_count,0.005980520029565524
decision_tree,refit,9,has_asset_vehicle,0.005288713251918306
decision_tree,refit,10,has_asset_insurance,0.005011990595959678
decision_tree,refit,11,has_asset_real_estate,0.0035034825529223082
decision_tree,refit,12,has_asset_gold,0.00305336142818841
decision_tree,refit,13,has_asset_investment,0.0026771083792529503
decision_tree,refit,14,has_asset_cash,0.0026631268351523006
decision_tree,refit,15,has_dependents,0.001412101821536112
decision_tree,refit,16,has_debt,0.0012512802281149302
decision_tree,refit,17,has_savings,0.0010645507171500868
random_forest,refit,1,savings_amount,0.2290294481513546
random_forest,refit,2,monthly_debt_payment,0.20289208446084217
random_forest,refit,3,average_monthly_expense,0.1539617574123875
random_forest,refit,4,average_monthly_income,0.13635989411377378
random_forest,refit,5,total_current_debt,0.06426640310069262
random_forest,refit,6,age,0.05816027894259001
random_forest,refit,7,household_size,0.030078173227632177
random_forest,refit,8,children_count,0.02413448857855867
random_forest,refit,9,has_savings,0.022301525988211113
random_forest,refit,10,has_debt,0.011827151725525988
random_forest,refit,11,has_asset_cash,0.011638569271553927
random_forest,refit,12,has_asset_vehicle,0.010711291877987347
random_forest,refit,13,has_asset_real_estate,0.010118860600087482
random_forest,refit,14,has_asset_gold,0.009488037945272136
random_forest,refit,15,has_asset_investment,0.008955893037160252
random_forest,refit,16,has_asset_insurance,0.008148390808984739
random_forest,refit,17,has_dependents,0.00792775075738545
xgboost,artifact,1,has_savings,0.1943744421005249
xgboost,artifact,2,monthly_debt_payment,0.1738595813512802
xgboost,artifact,3,savings_amount,0.150803804397583
xgboost,artifact,4,average_monthly_income,0.11584337800741196
xgboost,artifact,5,average_monthly_expense,0.10938874632120132
xgboost,artifact,6,total_current_debt,0.03303495794534683
xgboost,artifact,7,has_asset_vehicle,0.024514950811862946
xgboost,artifact,8,has_asset_investment,0.022690417245030403
xgboost,artifact,9,has_asset_gold,0.022105438634753227
xgboost,artifact,10,has_asset_insurance,0.021499153226614
xgboost,artifact,11,has_asset_real_estate,0.020021148025989532
xgboost,artifact,12,has_asset_cash,0.019980857148766518
xgboost,artifact,13,children_count,0.01994471251964569
xgboost,artifact,14,age,0.019825967028737068
xgboost,artifact,15,household_size,0.01893506944179535
xgboost,artifact,16,has_dependents,0.017376834526658058
xgboost,artifact,17,has_debt,0.01580054499208927
