feature,decision_tree,random_forest,xgboost,mean
savings_amount,0.39414345045897603,0.32523238604861165,0.23663152754306793,0.3186691213502186
average_monthly_expense,0.24286650636272814,0.1453888269490187,0.11437959223985672,0.16754497518386788
monthly_debt_payment,0.15837727942889188,0.14604434623135065,0.15537434816360474,0.1532653246079491
average_monthly_income,0.145771847825426,0.1174710796698596,0.09993935376405716,0.12106076041978092
has_savings,0.0,0.06349514861490005,0.21052271127700806,0.09133928663063602
total_current_debt,0.014004724756784461,0.049891940622960484,0.025539357215166092,0.029812007531637014
age,0.014444483372790032,0.04859271990277692,0.015742167830467224,0.026259790368678062
household_size,0.00698838842110184,0.02451665859436148,0.01585463248193264,0.01578655983246532
children_count,0.006742089224034754,0.019833219197560405,0.014657160267233849,0.01374415622960967
has_asset_vehicle,0.00312551470858552,0.008519545058052224,0.01807601936161518,0.009907026376084309
has_asset_real_estate,0.0022252984543716737,0.008249085114650554,0.016563791781663895,0.009012725116895375
has_asset_cash,0.0021149236613789086,0.008099925299535186,0.01584303192794323,0.008685960296285775
has_asset_gold,0.0023903582689461553,0.007318493552326538,0.01624339260160923,0.00865074814096064
has_asset_investment,0.002078174501387712,0.0069769154583744905,0.016697432845830917,0.00858417426853104
has_dependents,0.0018909972557441025,0.00682266422655661,0.015335949137806892,0.008016536873369201
has_asset_insurance,0.002263596850097674,0.007296807059925905,0.012599535286426544,0.007386646398816708
has_debt,0.0005723664487553122,0.006250238399178536,0.0,0.002274201615977949
