column,dtype,semantic,n_unique,missing_rate
SK_ID_CURR,int64,numeric,307511,0.0
TARGET,int64,binary,2,0.0
NAME_CONTRACT_TYPE,category,categorical,2,0.0
CODE_GENDER,category,categorical,2,1.3007664766463638e-05
FLAG_OWN_CAR,category,categorical,2,0.0
FLAG_OWN_REALTY,category,categorical,2,0.0
CNT_CHILDREN,int64,numeric,15,0.0
AMT_INCOME_TOTAL,float64,numeric,2548,0.0
AMT_CREDIT,float64,numeric,5603,0.0
AMT_ANNUITY,float64,numeric,13672,3.9022994299390916e-05
AMT_GOODS_PRICE,float64,numeric,1002,0.0009040327012692228
NAME_TYPE_SUITE,category,categorical,7,0.004201475719567756
NAME_INCOME_TYPE,category,categorical,8,0.0
NAME_EDUCATION_TYPE,category,categorical,5,0.0
NAME_FAMILY_STATUS,category,categorical,5,6.503832383231819e-06
NAME_HOUSING_TYPE,category,categorical,6,0.0
REGION_POPULATION_RELATIVE,float64,numeric,81,0.0
DAYS_BIRTH,int64,numeric,17460,0.0
DAYS_EMPLOYED,float64,numeric,12573,0.18007160719453938
DAYS_REGISTRATION,float64,numeric,15688,0.0
DAYS_ID_PUBLISH,int64,numeric,6168,0.0
OWN_CAR_AGE,float64,numeric,62,0.6599081008484249
FLAG_MOBIL,int64,binary,2,0.0
FLAG_EMP_PHONE,int64,binary,2,0.0
FLAG_WORK_PHONE,int64,binary,2,0.0
FLAG_CONT_MOBILE,int64,binary,2,0.0
FLAG_PHONE,int64,binary,2,0.0
FLAG_EMAIL,int64,binary,2,0.0
OCCUPATION_TYPE,category,categorical,18,0.31345545362604915
CNT_FAM_MEMBERS,float64,numeric,17,6.503832383231819e-06
REGION_RATING_CLIENT,int64,numeric,3,0.0
REGION_RATING_CLIENT_W_CITY,int64,numeric,3,0.0
WEEKDAY_APPR_PROCESS_START,category,categorical,7,0.0
HOUR_APPR_PROCESS_START,int64,numeric,24,0.0
REG_REGION_NOT_LIVE_REGION,int64,binary,2,0.0
REG_REGION_NOT_WORK_REGION,int64,binary,2,0.0
LIVE_REGION_NOT_WORK_REGION,int64,binary,2,0.0
REG_CITY_NOT_LIVE_CITY,int64,binary,2,0.0
REG_CITY_NOT_WORK_CITY,int64,binary,2,0.0
LIVE_CITY_NOT_WORK_CITY,int64,binary,2,0.0
ORGANIZATION_TYPE,category,categorical,57,0.18007160719453938
EXT_SOURCE_1,float64,numeric,114584,0.5638107254699832
EXT_SOURCE_2,float64,numeric,119831,0.0021462646864665006
EXT_SOURCE_3,float64,numeric,814,0.19825307062186392
APARTMENTS_AVG,float64,numeric,2339,0.5074972927797705
BASEMENTAREA_AVG,float64,numeric,3780,0.5851595552679416
YEARS_BEGINEXPLUATATION_AVG,float64,numeric,285,0.48781019215572774
YEARS_BUILD_AVG,float64,numeric,149,0.6649778381911542
COMMONAREA_AVG,float64,numeric,3181,0.6987229725115525
ELEVATORS_AVG,float64,numeric,257,0.532959796560123
