column,dtype,semantic,n_unique,missing_rate
SK_ID_CURR,int64,numeric,305810,0.0
SK_ID_BUREAU,int64,numeric,1716411,0.0
CREDIT_ACTIVE,category,categorical,4,0.0
CREDIT_CURRENCY,category,categorical,4,0.0
DAYS_CREDIT,int64,numeric,2923,0.0
CREDIT_DAY_OVERDUE,int64,numeric,942,0.0
DAYS_CREDIT_ENDDATE,float64,numeric,14095,0.06149634324179931
DAYS_ENDDATE_FACT,float64,numeric,2917,0.36916332976192767
AMT_CREDIT_MAX_OVERDUE,float64,numeric,68251,0.6551298028269453
CNT_CREDIT_PROLONG,int64,numeric,10,0.0
AMT_CREDIT_SUM,float64,numeric,236697,7.573943536833544e-06
AMT_CREDIT_SUM_DEBT,float64,numeric,226521,0.1501208043994125
AMT_CREDIT_SUM_LIMIT,float64,numeric,51726,0.3447775620174888
AMT_CREDIT_SUM_OVERDUE,float64,numeric,1616,0.0
CREDIT_TYPE,category,categorical,15,0.0
DAYS_CREDIT_UPDATE,int64,numeric,2970,0.0
AMT_ANNUITY,float64,numeric,40321,0.7147338254066188
