bin,n,share,n_bad,bad_rate,lift,woe,iv_part
"(10.0, 11.0]",7195,0.02339753699867647,580,0.08061153578874218,0.9985471896045074,0.0010708655883127421,2.6821574104341188e-08
"(11.0, 12.0]",5566,0.018100165522534153,393,0.07060725835429393,0.8746227038786418,0.14401366043134073,0.00035349158243084373
"(12.0, 14.0]",7873,0.025602336176592057,579,0.07354248698082053,0.9109818213075167,0.10050026297593687,0.00024795536126319835
"(14.0, 17.0]",6195,0.02014562080706056,548,0.08845843422114609,1.0957478979165702,-0.10042902412933347,0.00021195774200756024
"(17.0, 116.0]",5448,0.017716439411923475,541,0.09930249632892804,1.2300749224010068,-0.22803313304663586,0.0010139060336492598
"(7.999, 9.0]",25512,0.08296288588050509,1941,0.07608184383819379,0.9424372157311908,0.06436749219791445,0.0003345818073497271
"(9.0, 10.0]",8887,0.02889977919489059,708,0.07966692922245977,0.986846206329419,0.014026251147284136,5.652648155877282e-06
=0,44020,0.14314935075493235,4457,0.10124943207632894,1.2541919076424568,-0.24889108746511932,0.00984382697273216
=1,36072,0.11730312086396909,3098,0.08588378797959637,1.0638553685959178,-0.06739358069008744,0.0005480446902696662
=2,35635,0.11588203348823294,2784,0.07812543847341097,0.9677515291197213,0.0357190891848013,0.00014564880276080625
=3,32925,0.10706934060895383,2505,0.07608200455580866,0.9424392065644018,0.06441841507711714,0.0004324714119513984
=4,28973,0.09421776781968776,2065,0.0712732544092776,0.8828724969446673,0.13485990121422906,0.0016195111539085998
=5,24985,0.0812491260475235,1860,0.07444466680008005,0.9221572581010843,0.08788064322561971,0.000604809308802239
=6,20952,0.06813414804673654,1510,0.07206949217258496,0.8927356135945126,0.12281067698616474,0.0009761429631711809
=7,17273,0.056170348377781606,1256,0.0727146413477682,0.9007271732323685,0.11314180377332295,0.000685785493392801
