bin,n,share,n_bad,bad_rate,lift,woe,iv_part
"(-10284.0, -7489.0]",30724,0.0999118730712072,3558,0.11580523369352949,1.4344968063778831,-0.39965633997091127,0.01886973838175711
"(-11694.0, -10284.0]",30764,0.10004194971887184,3380,0.10986867767520478,1.3609597961965718,-0.3403482964544104,0.01336718041043298
"(-13140.0, -11694.0]",30755,0.1000126824731473,3015,0.09803284018858723,1.2143475012782536,-0.21317404347560603,0.004970305851919065
"(-14416.0, -13140.0]",30740,0.09996390373027306,2721,0.08851659076122316,1.0964682917049142,-0.1005843313436149,0.0010549545194483633
"(-15750.0, -14416.0]",30756,0.10001593438933892,2434,0.07913902978280661,0.9803070367589384,0.021613316320602396,4.629963887097753e-05
"(-17220.0, -15750.0]",30761,0.100032193970297,2397,0.07792334449465232,0.9652481606805652,0.038410006685765954,0.00014522386315866535
"(-18885.0, -17220.0]",30741,0.09996715564646468,2194,0.07137048241761816,0.8840768748730787,0.13331330764322874,0.0016802582856237744
"(-20474.0, -18885.0]",30757,0.10001918630553053,1950,0.0634002015801281,0.7853478101956404,0.26024819113717274,0.006076895376139148
"(-22181.0, -20474.0]",30756,0.10001593438933892,1668,0.054233320327740926,0.6717962766285576,0.42611605905267996,0.015213038748771935
"(-25229.001, -22181.0]",30757,0.10001918630553053,1508,0.04902948922196573,0.6073356398846286,0.5324448710934027,0.022743370130332067
