bin,n,share,n_bad,bad_rate,lift,woe,iv_part
"(-1250.0, -919.0]",25261,0.08214665491640949,2597,0.102806698072127,1.2734819952007188,-0.2660330810773889,0.006500592866569242
"(-1648.0, -1250.0]",25214,0.08199381485540355,2430,0.09637502974537955,1.1938119545631989,-0.19429997807988145,0.0033585119566937206
"(-17912.001, -5333.0]",25225,0.08202958593351133,1150,0.04558969276511397,0.5647263650309351,0.6087146346172283,0.023637078227588936
"(-2160.0, -1648.0]",25197,0.08193853228014608,2155,0.08552605468905028,1.0594240726479172,-0.06296583910936981,0.00033355805747481155
"(-2792.0, -2160.0]",25224,0.08202633401731971,1874,0.07429432286711068,0.9202949252442326,0.08999297917804724,0.0006397429476769132
"(-333.0, 0.0]",25178,0.08187674587250537,2776,0.11025498451028676,1.3657450369282091,-0.34430204271328707,0.011214248647961994
"(-3675.8, -2792.0]",25222,0.08201983018493647,1709,0.06775830624058361,0.8393323065598433,0.18909033340437742,0.0027097520786252514
"(-5333.0, -3675.8]",25203,0.08195804377729578,1466,0.05816767845097806,0.720531761052919,0.35189400591303577,0.008765397452418847
"(-617.0, -333.0]",25247,0.08210112808972687,2895,0.11466708915910802,1.4203984392510158,-0.38850309684637124,0.01458453293143298
"(-919.0, -617.0]",25166,0.08183772287820598,2783,0.11058571087975841,1.3698417940924628,-0.34766850914162856,0.011445276573701906
=365243,55374,0.18007160719453938,2990,0.05399646043269404,0.668862257567701,0.4308866877499036,0.02795148321216674
