bin,n,share,n_bad,bad_rate,lift,woe,iv_part
"(-0.0009999183, 0.216]",30686,0.0997883002559258,5631,0.18350387798996284,2.2730900714832414,-0.9395659329864589,0.12981581715997403
"(0.216, 0.34]",30685,0.09978504833973419,3706,0.12077562326869806,1.4960657678542038,-0.4472941775428598,0.024079681649621765
"(0.34, 0.44]",30687,0.09979155217211742,3056,0.09958614396975918,1.2335885082894105,-0.23059750499839837,0.005845697565874347
"(0.44, 0.512]",30684,0.09978179642354257,2566,0.08362664580889062,1.0358958098424074,-0.03839884110503579,0.00014951353755190389
"(0.512, 0.566]",30684,0.09978179642354257,2278,0.07424064659105722,0.9196300291586142,0.09081719970731278,0.0007922636374959013
"(0.566, 0.608]",30687,0.09979155217211742,2042,0.06654283572848438,0.8242760909446912,0.20853835421942063,0.003977577710045786
"(0.608, 0.646]",30683,0.09977854450735095,1794,0.058468858977283836,0.7242625294245127,0.346468314906198,0.010367874149933632
"(0.646, 0.682]",30694,0.09981431558545874,1499,0.0488369062357464,0.6049500855371848,0.5365994078121655,0.023013382048901746
"(0.682, 0.722]",30676,0.09975578109400965,1289,0.04201982005476594,0.5205058161071956,0.6940314067369255,0.036106275811611556
"(0.722, 0.855]",30685,0.09978504833973419,912,0.029721362229102165,0.36816297363276684,1.0529024688740958,0.07220001357205755
__MISSING__,660,0.0021462646864665006,52,0.07878787878787878,0.9759572766944368,0.017900282040004094,6.835753308415849e-07
