bin,n,share,n_bad,bad_rate,lift,woe,iv_part
Accountants,9813,0.031911053588326924,474,0.04830327117089575,0.5983398679167502,0.5474996525809092,0.007626052215996296
Cleaning staff,4653,0.015131166039588828,447,0.09606705351386202,1.1899970067714492,-0.19153703669250777,0.0006016827135072458
Cooking staff,5946,0.019335893675348197,621,0.10443995963673057,1.2937134512729367,-0.2841207540360115,0.0017587650892774993
Core staff,27570,0.08965532940285063,1738,0.06303953572723975,0.7808801881578741,0.26636399067212796,0.005691753619171103
Drivers,18603,0.06049539691263077,2107,0.11326130194054722,1.4029847420358355,-0.374600899668812,0.009933333728547863
High skill tech staff,11380,0.037006806260589054,701,0.06159929701230228,0.7630397350876168,0.29061366942787786,0.002768789675510786
Laborers,55186,0.1794602469505156,5838,0.10578769977892943,1.3104081106432375,-0.29781327022132753,0.018035195523143747
Managers,21371,0.0694967009310236,1328,0.06214028356183613,0.7697410166519151,0.2816076994794119,0.004900406135811329
Medicine staff,8537,0.02776160852782502,572,0.06700245988052009,0.8299695242827236,0.20061553361608886,0.0010275259593762426
Sales staff,32102,0.10439301358325394,3092,0.0963179864182917,1.1931053503111904,-0.19356871783213103,0.004242501426730845
Security staff,6721,0.02185612872385053,722,0.10742449040321381,1.330683281707258,-0.3155327345506097,0.002484315784069275
__MISSING__,96391,0.31345545362604915,6278,0.06513056198192778,0.8067820441339212,0.23169216249333724,0.01527417999986954
__RARE__,9238,0.030041201778147772,907,0.09818142455076856,1.2161880380677297,-0.21514150112879354,0.0015219904676465454
