algo,feature_set,bin,mean_predicted,observed_rate,gap
decision_tree,reduced,0,0.0788760475516916,0.03687821612349914,0.04199783142819246
decision_tree,reduced,1,0.18468672415737133,0.049134199134199134,0.1355525250231722
decision_tree,reduced,2,0.2736469108559821,0.053356658648589544,0.22029025220739254
decision_tree,reduced,3,0.34357782845521684,0.05398959236773634,0.2895882360874805
decision_tree,reduced,4,0.41350572687366044,0.06208378088077336,0.35142194599288706
decision_tree,reduced,5,0.4712355352150327,0.07400130975769482,0.3972342254573379
decision_tree,reduced,6,0.5285435712672187,0.08914310382041873,0.4394004674468
decision_tree,reduced,7,0.5946265432028068,0.09685751183814034,0.4977690313646665
decision_tree,reduced,8,0.6624656522096659,0.11106252732837779,0.5514031248812881
decision_tree,reduced,9,0.759136141805061,0.18231560516524403,0.5768205366398169
decision_tree,full,0,0.006984495601853244,0.021405405405405406,-0.014420909803552161
decision_tree,full,1,0.10310410111107661,0.03248709122203098,0.07061700988904562
decision_tree,full,2,0.19128200116153382,0.04557348451809856,0.14570851664343526
decision_tree,full,3,0.280728320902522,0.045957077823542164,0.2347712430789798
decision_tree,full,4,0.36459631467934955,0.054838709677419356,0.30975760500193017
decision_tree,full,5,0.43976499511718425,0.06527415143603134,0.37449084368115293
decision_tree,full,6,0.5169053117957214,0.07789382071366406,0.43901149108205734
decision_tree,full,7,0.5880889420527055,0.10073181231166595,0.4873571297410395
decision_tree,full,8,0.6803510769721,0.14097582037996545,0.5393752565921345
decision_tree,full,9,0.8019324739516323,0.224696802646086,0.5772356713055462
bagging,reduced,0,0.18276775208139853,0.026663776284413614,0.15610397579698493
bagging,reduced,1,0.26718768911667423,0.03836982440927813,0.2288178647073961
bagging,reduced,2,0.3179768743408135,0.04379878577623591,0.2741780885645776
bagging,reduced,3,0.36033332946993657,0.05441144591372209,0.30592188355621447
bagging,reduced,4,0.3998834517622694,0.05918057663125948,0.34070287513100994
bagging,reduced,5,0.4391450813896318,0.07111882046834345,0.3680262609212884
bagging,reduced,6,0.48203465988487576,0.08237589421200954,0.39965876567286623
bagging,reduced,7,0.5324352871236876,0.10429314830875976,0.42814213881492785
bagging,reduced,8,0.5956939198106505,0.13353566009104703,0.46215825971960345
bagging,reduced,9,0.7030133985766065,0.19358335139822241,0.5094300471783841
bagging,full,0,0.12289741634591882,0.011922826793843485,0.11097458955207533
bagging,full,1,0.18673972961805044,0.02037719488402341,0.166362534734027
bagging,full,2,0.23661223532834577,0.03230702515177797,0.2043052101765678
bagging,full,3,0.28502529402345367,0.03815304574029915,0.24687224828315452
bagging,full,4,0.33679237159594355,0.048558421851289835,0.2882339497446537
bagging,full,5,0.3929089982639434,0.06309627059843885,0.3298127276655045
bagging,full,6,0.45600186041133184,0.08367656622588338,0.37232529418544846
bagging,full,7,0.5296426626622128,0.1049436253252385,0.42469903733697434
bagging,full,8,0.6198097590381393,0.1528289616301756,0.4669807974079637
bagging,full,9,0.7515992439230258,0.25146325601560804,0.5001359879074178
random_forest,reduced,0,0.254749639556452,0.023195317580750056,0.23155432197570197
random_forest,reduced,1,0.328213824576731,0.037502709733362234,0.29071111484336876
random_forest,reduced,2,0.37124557986506446,0.044882914137033825,0.32636266572803063
random_forest,reduced,3,0.40761815639484644,0.05961413396921743,0.348004022425629
