algo,feature_set,alert_rate,n_reviewed,n_caught,capture_rate,precision_at_k,lift
decision_tree,reduced,0.05,2306,501,0.1345327604726101,0.21725932350390287,2.690655209452202
decision_tree,reduced,0.1,4613,838,0.22502685284640173,0.18166052460437893,2.250268528464017
decision_tree,reduced,0.2,9225,1346,0.36143931256713213,0.14590785907859077,1.8071965628356605
decision_tree,reduced,0.3,13838,1797,0.48254564983888293,0.12985980633039457,1.6084854994629432
decision_tree,reduced,0.5,23064,2551,0.685016111707841,0.11060527228581339,1.370032223415682
decision_tree,full,0.05,2306,616,0.16541353383458646,0.26712922810060713,3.308270676691729
decision_tree,full,0.1,4613,1030,0.2765843179377014,0.22328202904834166,2.7658431793770135
decision_tree,full,0.2,9225,1673,0.4492481203007519,0.1813550135501355,2.2462406015037595
decision_tree,full,0.3,13838,2142,0.575187969924812,0.1547911547911548,1.9172932330827068
decision_tree,full,0.5,23064,2803,0.7526852846401718,0.12153139091224419,1.5053705692803436
bagging,reduced,0.05,2306,519,0.13936627282491945,0.22506504770164787,2.787325456498389
bagging,reduced,0.1,4613,893,0.23979591836734693,0.19358335139822241,2.397959183673469
bagging,reduced,0.2,9225,1509,0.4052094522019334,0.16357723577235772,2.026047261009667
bagging,reduced,0.3,13838,1990,0.5343716433941997,0.14380690851279088,1.7812388113139992
bagging,reduced,0.5,23064,2698,0.7244897959183674,0.1169788414845647,1.4489795918367347
bagging,full,0.05,2306,721,0.19360902255639098,0.3126626192541197,3.8721804511278193
bagging,full,0.1,4613,1160,0.31149301825993553,0.25146325601560804,3.114930182599355
bagging,full,0.2,9225,1865,0.5008055853920516,0.2021680216802168,2.5040279269602577
bagging,full,0.3,13838,2349,0.6307733619763695,0.16974996386761093,2.102577873254565
bagging,full,0.5,23064,3026,0.8125671321160043,0.1312001387443635,1.6251342642320086
random_forest,reduced,0.05,2306,483,0.12969924812030076,0.20945359930615784,2.593984962406015
random_forest,reduced,0.1,4613,848,0.22771213748657357,0.18382831129416866,2.2771213748657355
random_forest,reduced,0.2,9225,1426,0.382921589688507,0.154579945799458,1.914607948442535
random_forest,reduced,0.3,13838,1910,0.5128893662728249,0.1380257262610204,1.7096312209094164
random_forest,reduced,0.5,23064,2658,0.7137486573576799,0.11524453694068679,1.4274973147153598
random_forest,full,0.05,2306,710,0.19065520945220193,0.30789245446660884,3.8131041890440387
random_forest,full,0.1,4613,1168,0.31364124597207305,0.25319748536743986,3.1364124597207304
random_forest,full,0.2,9225,1857,0.4986573576799141,0.20130081300813008,2.4932867883995704
random_forest,full,0.3,13838,2368,0.635875402792696,0.1711229946524064,2.119584675975654
random_forest,full,0.5,23064,3033,0.8144468313641245,0.13150364203954215,1.628893662728249
xgboost,reduced,0.05,2306,572,0.1535982814178303,0.24804856895056374,3.071965628356606
xgboost,reduced,0.1,4613,953,0.2559076262083781,0.20659007153696077,2.5590762620837806
xgboost,reduced,0.2,9225,1586,0.42588614393125673,0.1719241192411924,2.1294307196562836
xgboost,reduced,0.3,13838,2067,0.5550483351235231,0.14937129643011995,1.8501611170784105
xgboost,reduced,0.5,23064,2757,0.7403329752953813,0.1195369406867846,1.4806659505907627
xgboost,full,0.05,2306,786,0.21106337271750805,0.34084995663486556,4.221267454350161
xgboost,full,0.1,4613,1255,0.3370032223415682,0.27205722956861045,3.370032223415682
xgboost,full,0.2,9225,1961,0.5265843179377014,0.21257452574525745,2.632921589688507
xgboost,full,0.3,13838,2457,0.6597744360902256,0.17755455990750107,2.199248120300752
xgboost,full,0.5,23064,3085,0.8284103114930182,0.13375823794658342,1.6568206229860365
