algo,feature_set,threshold,f1_positive,recall_positive,precision_positive,accuracy
decision_tree,reduced,0.05,0.15258176988211855,0.9871106337271751,0.08268106162843004,0.11479177054653457
decision_tree,reduced,0.1,0.15458340432782416,0.9744897959183674,0.08395021745165171,0.13946278752140828
decision_tree,reduced,0.15,0.15716561919093563,0.9535445757250268,0.08564055566274359,0.17432306458256552
decision_tree,reduced,0.2,0.16204317364135581,0.9191729323308271,0.08885370158862008,0.23251024345827823
decision_tree,reduced,0.25,0.16586199959766645,0.8856068743286788,0.09149927865941627,0.2808550306761766
decision_tree,reduced,0.3,0.16936380146919303,0.8388829215896885,0.0941900081406217,0.33568192165109373
decision_tree,reduced,0.35,0.17580379841483476,0.7892051557465092,0.09891959207027701,0.4025841697920957
decision_tree,reduced,0.4,0.18319794069468123,0.7357679914070892,0.10462407881171484,0.4703102304507122
decision_tree,reduced,0.45,0.19188529591214154,0.6756176154672395,0.11182222222222223,0.5405727664925098
decision_tree,reduced,0.5,0.20148501237510313,0.5902255639097744,0.12147673261854758,0.6223036399505713
decision_tree,reduced,0.55,0.20569998912215817,0.5077873254564984,0.12897285499931796,0.6833958419147137
decision_tree,reduced,0.6,0.20810325327656176,0.41997851772287864,0.13832139382683292,0.741951568495675
decision_tree,reduced,0.7,0.20408631772268135,0.2387218045112782,0.17822774659182036,0.8496758948121491
decision_tree,reduced,0.8,0.08053691275167785,0.04833512352309345,0.24128686327077747,0.9108981724369675
decision_tree,reduced,0.9,0.0,0.0,0.0,0.9192663732737876
decision_tree,full,0.05,0.1603077059109598,0.9736842105263158,0.0873440285204991,0.1764909922604982
decision_tree,full,0.1,0.16517473087028298,0.9538131041890441,0.09041618938526155,0.22160556723827693
decision_tree,full,0.15,0.17126485044582213,0.9309881847475833,0.09430677583439871,0.2725952262232532
decision_tree,full,0.2,0.17666948436179206,0.8979591836734694,0.09797257705379116,0.3243003013419472
decision_tree,full,0.25,0.18275002831577755,0.8665413533834586,0.10214611293998481,0.3742927135950745
decision_tree,full,0.3,0.19080255790472112,0.8372717508055854,0.10766946372457613,0.4266481670171483
decision_tree,full,0.35,0.19836475888536625,0.7980665950590763,0.11325787889181052,0.47924209248379473
decision_tree,full,0.4,0.20868144517470574,0.7545649838882922,0.12108415564269401,0.53799293255577
decision_tree,full,0.45,0.21956759485151847,0.700859291084855,0.13017456359102245,0.5977626986363734
decision_tree,full,0.5,0.2298861570840907,0.6452738990332976,0.13985566290303805,0.6509636438528411
decision_tree,full,0.55,0.2450014405070585,0.5708915145005371,0.1559680140855403,0.715936436360483
decision_tree,full,0.6,0.2540824799335732,0.49301825993555315,0.17114093959731544,0.7662973963188588
decision_tree,full,0.7,0.2604166666666667,0.3356605800214823,0.2127297481279782,0.8460771348667808
decision_tree,full,0.8,0.1988665636269964,0.1554779806659506,0.27584564078132445,0.8988661738244412
decision_tree,full,0.9,0.042758971748536524,0.022556390977443608,0.4097560975609756,0.9184642400329525
bagging,reduced,0.05,0.14938308757147156,0.9997314715359829,0.0807224474751198,0.08082034383332971
