feature,position
CNT_CHILDREN,0
AMT_INCOME_TOTAL,1
AMT_CREDIT,2
AMT_ANNUITY,3
REGION_POPULATION_RELATIVE,4
DAYS_BIRTH,5
DAYS_EMPLOYED,6
DAYS_REGISTRATION,7
DAYS_ID_PUBLISH,8
FLAG_EMP_PHONE,9
FLAG_WORK_PHONE,10
FLAG_PHONE,11
FLAG_EMAIL,12
CNT_FAM_MEMBERS,13
REGION_RATING_CLIENT,14
HOUR_APPR_PROCESS_START,15
REG_REGION_NOT_LIVE_REGION,16
REG_REGION_NOT_WORK_REGION,17
LIVE_REGION_NOT_WORK_REGION,18
REG_CITY_NOT_LIVE_CITY,19
REG_CITY_NOT_WORK_CITY,20
LIVE_CITY_NOT_WORK_CITY,21
EXT_SOURCE_1,22
EXT_SOURCE_2,23
EXT_SOURCE_3,24
APARTMENTS_AVG,25
BASEMENTAREA_AVG,26
YEARS_BEGINEXPLUATATION_AVG,27
ELEVATORS_AVG,28
ENTRANCES_AVG,29
FLOORSMAX_AVG,30
LANDAREA_AVG,31
LIVINGAREA_AVG,32
NONLIVINGAREA_AVG,33
TOTALAREA_MODE,34
OBS_30_CNT_SOCIAL_CIRCLE,35
DEF_30_CNT_SOCIAL_CIRCLE,36
DEF_60_CNT_SOCIAL_CIRCLE,37
DAYS_LAST_PHONE_CHANGE,38
FLAG_DOCUMENT_3,39
FLAG_DOCUMENT_5,40
FLAG_DOCUMENT_6,41
FLAG_DOCUMENT_8,42
FLAG_DOCUMENT_16,43
AMT_REQ_CREDIT_BUREAU_WEEK,44
AMT_REQ_CREDIT_BUREAU_MON,45
AMT_REQ_CREDIT_BUREAU_QRT,46
AMT_REQ_CREDIT_BUREAU_YEAR,47
BUREAU_LOAN_COUNT,48
BUREAU_OVERDUE_LOAN_COUNT,49
BUREAU_TOTAL_OVERDUE,50
BUREAU_TOTAL_DEBT,51
BUREAU_TOTAL_CREDIT,52
BUREAU_ACTIVE_LOAN_COUNT,53
BUREAU_MAX_DAYS_OVERDUE,54
BUREAU_HISTORY_YEARS,55
BUREAU_NO_RECORD,56
dti,57
credit_income_ratio,58
credit_term_implied,59
income_per_capita_ratio,60
bureau_overdue_loan_share,61
bureau_debt_income_ratio,62
bureau_credit_income_ratio,63
credit_goods_markup,64
NAME_CONTRACT_TYPE,65
CODE_GENDER,66
FLAG_OWN_CAR,67
FLAG_OWN_REALTY,68
NAME_TYPE_SUITE,69
NAME_INCOME_TYPE,70
NAME_EDUCATION_TYPE,71
NAME_FAMILY_STATUS,72
NAME_HOUSING_TYPE,73
OCCUPATION_TYPE,74
WEEKDAY_APPR_PROCESS_START,75
ORGANIZATION_TYPE,76
HOUSETYPE_MODE,77
WALLSMATERIAL_MODE,78
EMERGENCYSTATE_MODE,79
OCCUPATION_TYPE_MISSING,80
EXT_SOURCE_3_MISSING,81
EXT_SOURCE_1_MISSING,82
