feature,rank_builtin,rank_permutation,rank_shap,rank_mean,rank_spread,algo,feature_set
credit_term_implied,1,1,1.0,1.0,0,decision_tree,reduced
employment_years,2,2,2.0,2.0,0,decision_tree,reduced
bureau_credit_income_ratio,3,4,3.0,3.3333333333333335,1,decision_tree,reduced
bureau_debt_income_ratio,5,3,4.0,4.0,2,decision_tree,reduced
age_years,4,5,5.0,4.666666666666667,1,decision_tree,reduced
dti,6,9,7.0,7.333333333333333,3,decision_tree,reduced
bureau_active_loan_count,7,10,6.0,7.666666666666667,4,decision_tree,reduced
credit_income_ratio,8,6,10.0,8.0,4,decision_tree,reduced
employment_ratio,9,8,8.0,8.333333333333334,1,decision_tree,reduced
bureau_loan_count,10,7,9.0,8.666666666666666,3,decision_tree,reduced
bureau_overdue_loan_count,12,12,12.0,12.0,0,decision_tree,reduced
bureau_overdue_loan_share,13,11,13.0,12.333333333333334,2,decision_tree,reduced
children_ratio,11,16,11.0,12.666666666666666,5,decision_tree,reduced
bureau_has_overdue,14,14,14.0,14.0,0,decision_tree,reduced
bureau_overdue_income_ratio,15,13,15.0,14.333333333333334,2,decision_tree,reduced
EXT_SOURCE_3,1,2,1.0,1.3333333333333333,1,decision_tree,full
EXT_SOURCE_2,2,1,2.0,1.6666666666666667,1,decision_tree,full
credit_goods_markup,4,3,3.0,3.3333333333333335,1,decision_tree,full
EXT_SOURCE_1,3,8,4.0,5.0,5,decision_tree,full
credit_term_implied,6,4,6.0,5.333333333333333,2,decision_tree,full
DAYS_EMPLOYED,5,9,5.0,6.333333333333333,4,decision_tree,full
DAYS_BIRTH,7,5,8.0,6.666666666666667,3,decision_tree,full
NAME_EDUCATION_TYPE,10,6,7.0,7.666666666666667,4,decision_tree,full
AMT_ANNUITY,12,11,11.0,11.333333333333334,1,decision_tree,full
CODE_GENDER,19,12,9.0,13.333333333333334,10,decision_tree,full
AMT_CREDIT,11,14,16.0,13.666666666666666,5,decision_tree,full
BUREAU_TOTAL_CREDIT,18,17,13.0,16.0,5,decision_tree,full
