algo,feature_set,feature,importance,rank
decision_tree,reduced,credit_term_implied,0.07744423495920331,1
decision_tree,reduced,employment_years,0.055804105840023405,2
decision_tree,reduced,bureau_credit_income_ratio,0.040510634620648654,3
decision_tree,reduced,bureau_debt_income_ratio,0.03773301624109023,4
decision_tree,reduced,age_years,0.03269277049168022,5
decision_tree,reduced,bureau_active_loan_count,0.027930650026993856,6
decision_tree,reduced,dti,0.019460250065768552,7
decision_tree,reduced,employment_ratio,0.009452676654418707,8
decision_tree,reduced,credit_income_ratio,0.008156904731639074,9
decision_tree,reduced,bureau_loan_count,0.007318045434022344,10
decision_tree,reduced,income_per_capita_ratio,0.006985344888135522,11
decision_tree,reduced,children_ratio,0.0020465152859159047,12
decision_tree,reduced,bureau_overdue_loan_count,0.0,13
decision_tree,reduced,bureau_overdue_loan_share,0.0,14
decision_tree,reduced,bureau_has_overdue,0.0,15
decision_tree,reduced,bureau_overdue_income_ratio,0.0,16
decision_tree,reduced,bureau_no_record,0.0,17
decision_tree,full,EXT_SOURCE_3,0.0944026723410908,1
decision_tree,full,EXT_SOURCE_2,0.09319300349417428,2
decision_tree,full,credit_goods_markup,0.036662496376338796,3
decision_tree,full,EXT_SOURCE_1,0.03559700326899952,4
decision_tree,full,DAYS_EMPLOYED,0.02536563570551294,5
decision_tree,full,credit_term_implied,0.015492941970111277,6
decision_tree,full,NAME_EDUCATION_TYPE,0.014195017099248045,7
decision_tree,full,DAYS_BIRTH,0.013490094612008821,8
decision_tree,full,CODE_GENDER,0.01118909124747014,9
decision_tree,full,dti,0.008890611046740457,10
decision_tree,full,AMT_ANNUITY,0.008669919070362223,11
decision_tree,full,DAYS_ID_PUBLISH,0.0070252005984959825,12
decision_tree,full,BUREAU_HISTORY_YEARS,0.0063707690468138125,13
decision_tree,full,BUREAU_TOTAL_CREDIT,0.006192809185732796,14
decision_tree,full,bureau_debt_income_ratio,0.006106218116048745,15
decision_tree,full,AMT_CREDIT,0.005978073111035416,16
decision_tree,full,OCCUPATION_TYPE,0.005398912436778072,17
decision_tree,full,bureau_credit_income_ratio,0.005176027997974728,18
decision_tree,full,DAYS_LAST_PHONE_CHANGE,0.0051361623032359985,19
decision_tree,full,DAYS_REGISTRATION,0.004220911822693718,20
decision_tree,full,BUREAU_TOTAL_DEBT,0.003530110026509169,21
decision_tree,full,REGION_POPULATION_RELATIVE,0.003338917189979439,22
decision_tree,full,FLAG_OWN_CAR,0.0031465461893199612,23
decision_tree,full,AMT_REQ_CREDIT_BUREAU_YEAR,0.0029629417226986147,24
decision_tree,full,credit_income_ratio,0.0028017402954721893,25
decision_tree,full,income_per_capita_ratio,0.0027783241615267833,26
decision_tree,full,NAME_INCOME_TYPE,0.0024830393601418246,27
decision_tree,full,HOUR_APPR_PROCESS_START,0.0023437449162720136,28
decision_tree,full,WEEKDAY_APPR_PROCESS_START,0.002294146129114902,29
decision_tree,full,FLAG_DOCUMENT_3,0.002272746227723587,30
decision_tree,full,YEARS_BEGINEXPLUATATION_AVG,0.0021397378996325443,31
decision_tree,full,ORGANIZATION_TYPE,0.002059362422277765,32
decision_tree,full,BUREAU_ACTIVE_LOAN_COUNT,0.0018331074176292032,33
decision_tree,full,AMT_INCOME_TOTAL,0.001801725451617377,34
decision_tree,full,NONLIVINGAREA_AVG,0.0016118584764733324,35
decision_tree,full,BUREAU_LOAN_COUNT,0.0014913614476857748,36
decision_tree,full,ENTRANCES_AVG,0.0012627377971347518,37
decision_tree,full,WALLSMATERIAL_MODE,0.0010722505479632768,38
decision_tree,full,OBS_30_CNT_SOCIAL_CIRCLE,0.0010311347472527698,39
decision_tree,full,FLOORSMAX_AVG,0.0009712454710836258,40
decision_tree,full,LIVINGAREA_AVG,0.0008660245035628986,41
decision_tree,full,AMT_REQ_CREDIT_BUREAU_QRT,0.0007896382584937925,42
decision_tree,full,APARTMENTS_AVG,0.0007832353338867471,43
decision_tree,full,LANDAREA_AVG,0.0007148373226465535,44
decision_tree,full,NAME_FAMILY_STATUS,0.0007093953779289702,45
decision_tree,full,FLAG_WORK_PHONE,0.0006643904487355489,46
decision_tree,full,EMERGENCYSTATE_MODE,0.000657331213121502,47
decision_tree,full,DEF_60_CNT_SOCIAL_CIRCLE,0.0005571150433409096,48
decision_tree,full,FLAG_OWN_REALTY,0.0005525554551027063,49
decision_tree,full,CNT_FAM_MEMBERS,0.0005420279950470593,50
decision_tree,full,NAME_TYPE_SUITE,0.00044097797170758197,51
decision_tree,full,BASEMENTAREA_AVG,0.000437461999541271,52
decision_tree,full,FLAG_DOCUMENT_8,0.00040736088571414835,53
decision_tree,full,FLAG_PHONE,0.00037143360852412194,54
decision_tree,full,REGION_RATING_CLIENT,0.0003081110342718819,55
