SK_ID_CURR,split
100002,train
100003,train
100004,train
100008,train
100011,train
100012,train
100016,train
100017,train
100018,train
100019,train
100021,train
100022,train
100025,train
100027,train
100030,train
100031,train
100032,train
100033,train
100034,train
100036,train
100037,train
100039,train
100040,train
100041,train
100043,train
100044,train
100047,train
100050,train
100051,train
100052,train
100055,train
100059,train
100060,train
100061,train
100064,train
100068,train
100069,train
100072,train
100073,train
100076,train
100079,train
100081,train
100082,train
100085,train
100086,train
100087,train
100089,train
100094,train
100095,train
100096,train
100097,train
100098,train
100099,train
100100,train
100102,train
100103,train
100104,train
100105,train
100108,train
100110,train
100111,train
100112,train
100113,train
100115,train
100116,train
100119,train
100120,train
100121,train
100122,train
100123,train
100124,train
100125,train
100126,train
100127,train
100130,train
100131,train
100132,train
100133,train
100134,train
100135,train
100136,train
100138,train
100139,train
100140,train
100142,train
100145,train
100146,train
100148,train
100149,train
100151,train
100152,train
100153,train
100154,train
100156,train
100157,train
100158,train
100159,train
100160,train
100161,train
100164,train
100165,train
100166,train
100167,train
100174,train
100175,train
100176,train
100177,train
100178,train
100179,train
100181,train
100186,train
100188,train
100189,train
100190,train
100191,train
100192,train
100194,train
100197,train
100199,train
100200,train
100201,train
100202,train
100203,train
100207,train
100208,train
100211,train
100213,train
100215,train
100216,train
100217,train
100218,train
100224,train
100227,train
100229,train
100230,train
100231,train
100236,train
100238,train
100239,train
100240,train
100242,train
100243,train
100244,train
100246,train
100247,train
100248,train
100260,train
100261,train
100262,train
100263,train
100264,train
100266,train
100267,train
100269,train
100272,train
100273,train
100274,train
100276,train
100277,train
100279,train
100281,train
100286,train
100287,train
100289,train
100292,train
100294,train
100295,train
100296,train
100297,train
100299,train
100300,train
100301,train
100302,train
100305,train
100308,train
100309,train
100310,train
100313,train
100314,train
100315,train
100317,train
100318,train
100322,train
100323,train
100324,train
100325,train
100326,train
100327,train
100329,train
100332,train
100333,train
100334,train
100336,train
100337,train
100338,train
100339,train
100340,train
100341,train
100343,train
100344,train
100345,train
100347,train
100348,train
100349,train
100350,train
100351,train
100353,train
100355,train
100359,train
100360,train
100363,train
100365,train
100369,train
100371,train
100372,train
100373,train
100374,train
100375,train
100376,train
100377,train
100378,train
100379,train
100380,train
100381,train
100383,train
100387,train
100389,train
100390,train
100394,train
100395,train
100396,train
100397,train
100400,train
100403,train
100405,train
100406,train
100408,train
100410,train
100411,train
100412,train
100415,train
100419,train
100420,train
100421,train
100423,train
100424,train
100425,train
100428,train
100430,train
100431,train
100433,train
100434,train
100435,train
100436,train
100437,train
100439,train
100442,train
100443,train
100449,train
100454,train
100455,train
100456,train
100457,train
100458,train
100460,train
100461,train
100463,train
100464,train
100467,train
100468,train
100469,train
100470,train
100471,train
100473,train
100474,train
100475,train
100476,train
100478,train
100479,train
100481,train
100485,train
100486,train
100489,train
100490,train
100491,train
100492,train
100493,train
100495,train
100496,train
100499,train
100502,train
100503,train
100504,train
100505,train
100506,train
100507,train
100508,train
100509,train
100511,train
100513,train
100515,train
100516,train
100518,train
100519,train
100521,train
100522,train
100523,train
100526,train
100527,train
100528,train
100529,train
100530,train
100531,train
100535,train
100536,train
100537,train
100538,train
100539,train
100540,train
100541,train
100542,train
100543,train
100544,train
100547,train
100550,train
100554,train
100555,train
100556,train
100557,train
100559,train
100560,train
100562,train
100563,train
100565,train
100566,train
100567,train
100570,train
100571,train
100572,train
100573,train
100574,train
100575,train
100576,train
100577,train
100578,train
100580,train
100581,train
100583,train
100584,train
100585,train
100588,train
100589,train
100590,train
100593,train
100594,train
100595,train
100596,train
100597,train
100598,train
100600,train
100603,train
100605,train
100606,train
100608,train
100611,train
100614,train
100615,train
100616,train
100619,train
100620,train
100621,train
100624,train
100626,train
100627,train
100629,train
100630,train
100631,train
100632,train
100633,train
100634,train
100639,train
100640,train
100642,train
100643,train
100644,train
100645,train
100646,train
100647,train
100648,train
100649,train
100650,train
100651,train
100653,train
100654,train
100655,train
100657,train
100658,train
100660,train
100661,train
100662,train
100665,train
100666,train
100668,train
100669,train
100670,train
100672,train
100673,train
100674,train
100675,train
100676,train
100678,train
100679,train
100682,train
100684,train
100686,train
100689,train
100691,train
100693,train
100694,train
100695,train
100698,train
100701,train
100703,train
100704,train
100705,train
100708,train
100709,train
100710,train
100712,train
100713,train
100714,train
100715,train
100718,train
100719,train
100720,train
100721,train
100722,train
100723,train
100724,train
100726,train
100727,train
100730,train
100731,train
100732,train
100733,train
100734,train
100736,train
100737,train
100738,train
100739,train
100743,train
100748,train
100756,train
100757,train
100758,train
100761,train
100766,train
100768,train
100769,train
100771,train
100773,train
100774,train
100775,train
100776,train
100780,train
100782,train
100783,train
100785,train
100786,train
100787,train
100793,train
100794,train
100795,train
100796,train
100798,train
100799,train
100802,train
100803,train
100804,train
100805,train
100807,train
100808,train
100809,train
100810,train
100812,train
100814,train
100815,train
100816,train
100817,train
100818,train
100819,train
100820,train
100822,train
100824,train
100825,train
100828,train
100829,train
100831,train
100832,train
100833,train
100834,train
100835,train
100837,train
100838,train
100839,train
100841,train
100843,train
100844,train
100846,train
100847,train
100848,train
100849,train
100851,train
100852,train
100855,train
100856,train
100857,train
100858,train
100859,train
100861,train
100862,train
100863,train
100864,train
100865,train
100866,train
100867,train
100868,train
100869,train
100870,train
100871,train
100873,train
100874,train
100875,train
100876,train
100877,train
100878,train
100881,train
100882,train
100884,train
100886,train
100887,train
100891,train
100892,train
100894,train
100895,train
100896,train
100897,train
100898,train
100901,train
100903,train
100905,train
100906,train
100911,train
100912,train
100915,train
100916,train
100919,train
100920,train
100921,train
100923,train
100925,train
100927,train
100928,train
100930,train
100932,train
100934,train
100935,train
100936,train
100937,train
100939,train
100940,train
100943,train
100945,train
100946,train
100947,train
100948,train
100949,train
100950,train
100951,train
100954,train
100955,train
100956,train
100959,train
100960,train
100962,train
100963,train
100964,train
100966,train
100968,train
100969,train
100973,train
